iter	Passed	Remaining
457	814	964
458	815	961
459	816	958
460	817	955
461	817	952
462	818	949
463	818	945
464	819	942
465	820	939
466	820	936
467	822	935
468	872	988
469	875	987
470	876	984
471	878	982
472	880	980
473	881	977
474	881	974
475	882	971
476	885	970
477	886	967
478	888	965
479	890	965
480	891	962
481	892	959
482	893	956
483	894	953
484	895	950
485	896	948
486	899	947
487	900	945
488	908	948
489	909	946
490	910	943
491	911	940
492	914	940
493	915	937
494	916	935
495	923	938
496	924	935
497	925	932
498	926	930
499	928	928
500	945	941
501	946	938
502	951	939
503	952	937
504	953	934
505	954	931
506	955	928
507	955	925
508	956	922
509	957	920
510	958	917
511	958	914
512	959	910
513	963	910
514	965	909
515	966	906
516	967	903
517	968	900
518	968	897
519	969	894
520	970	892
521	971	889
522	972	886
523	973	883
524	977	884
525	978	882
526	979	879
527	980	876
528	981	873
529	981	870
530	982	867
531	982	864
532	983	861
533	984	858
534	985	856
535	986	853
536	986	850
537	989	849
538	990	847
539	991	844
540	992	842
541	993	839
542	993	836
543	994	833
544	994	830
545	995	827
546	996	824
547	996	822
548	997	819
549	997	816
550	998	814
551	1000	811
552	1003	811
553	1004	808
554	1005	806
555	1006	803
556	1007	800
557	1007	798
558	1008	795
559	1008	792
560	1009	789
561	1010	787
562	1010	784
563	1011	781
564	1011	779
565	1012	776
566	1013	773
567	1013	771
568	1018	771
569	1019	769
570	1020	766
571	1021	764
572	1022	762
573	1023	759
574	1023	756
575	1024	754
576	1025	751
577	1025	748
578	1027	747
579	1028	744
580	1028	741
581	1029	739
582	1031	737
583	1032	735
584	1032	732
585	1033	730
586	1034	727
587	1034	724
588	1035	722
589	1035	719
590	1036	717
591	1037	714
592	1037	712
593	1038	709
594	1039	707
595	1040	704
596	1041	702
597	1041	700
598	1046	700
599	1048	698
600	1049	696
601	1049	694
602	1050	691
603	1051	689
604	1051	686
605	1052	684
606	1052	681
607	1053	679
608	1054	676
609	1055	674
610	1056	672
611	1057	670
612	1058	668
613	1059	665
614	1060	663
615	1060	661
616	1061	658
617	1062	656
618	1062	654
619	1063	651
620	1063	649
621	1064	646
622	1065	644
623	1065	642
624	1066	639
625	1067	637
626	1067	635
627	1068	633
628	1070	631
629	1071	629
630	1072	627
631	1072	624
632	1073	622
633	1074	620
634	1074	617
635	1075	615
636	1075	613
637	1076	610
638	1077	608
639	1077	606
640	1078	603
641	1079	601
642	1080	599
643	1081	597
644	1082	595
645	1082	593
646	1083	591
647	1084	589
648	1085	587
649	1086	584
650	1086	582
651	1087	580
652	1087	578
653	1088	575
654	1089	573
655	1089	571
656	1090	569
657	1091	567
658	1092	565
659	1093	563
660	1097	562
661	1098	560
662	1098	558
663	1099	556
664	1100	554
665	1101	552
666	1101	549
667	1102	547
668	1102	545
669	1103	543
670	1103	541
671	1104	539
672	1105	537
673	1107	535
674	1108	533
675	1109	531
676	1110	529
677	1110	527
678	1111	525
679	1112	523
680	1112	521
681	1113	519
682	1113	517
683	1114	514
684	1115	512
685	1115	510
686	1116	508
687	1116	506
688	1117	504
689	1118	502
690	1119	500
691	1123	500
692	1127	499
693	1127	497
694	1128	495
695	1129	493
696	1129	491
697	1130	489
698	1130	486
699	1131	484
700	1132	482
701	1134	481
702	1135	479
703	1136	477
704	1137	475
705	1138	473
706	1139	472
707	1139	470
708	1140	468
709	1141	466
710	1141	464
711	1143	462
712	1144	460
713	1144	458
714	1145	456
715	1146	454
716	1149	453
717	1150	451
718	1151	449
719	1151	447
720	1152	446
721	1153	444
722	1154	442
723	1154	440
724	1155	438
725	1156	436
726	1156	434
727	1157	432
728	1157	430
729	1158	428
730	1159	426
731	1159	424
732	1160	422
733	1162	421
734	1163	419
735	1164	417
736	1165	416
737	1166	414
738	1167	412
739	1167	410
740	1168	408
741	1169	406
742	1169	404
743	1170	402
744	1171	400
745	1171	398
746	1172	397
747	1172	395
748	1173	393
749	1176	392
750	1177	390
751	1179	388
752	1180	387
753	1181	385
754	1182	383
755	1182	381
756	1183	379
757	1184	378
758	1184	376
759	1185	374
760	1185	372
761	1186	370
762	1187	368
763	1192	368
764	1195	367
765	1196	365
766	1197	363
767	1198	362
768	1199	360
769	1200	358
770	1201	356
771	1204	355
772	1205	354
773	1206	352
774	1207	350
775	1208	348
776	1209	347
777	1209	345
778	1210	343
779	1211	341
780	1211	339
781	1212	337
782	1212	336
783	1213	334
784	1221	334
785	1222	332
786	1223	331
787	1224	329
788	1224	327
789	1225	325
790	1226	323
791	1226	322
792	1227	320
793	1229	318
794	1229	317
795	1230	315
796	1231	313
797	1232	311
798	1232	310
799	1233	308
800	1234	306
801	1234	304
802	1235	303
803	1235	301
804	1236	299
805	1237	297
806	1237	296
807	1238	294
808	1238	292
809	1239	290
810	1248	290
811	1251	289
812	1252	288
813	1252	286
814	1253	284
815	1254	282
816	1254	281
817	1255	279
818	1256	277
819	1258	276
820	1259	274
821	1260	272
822	1260	271
823	1261	269
824	1261	267
825	1262	265
826	1263	264
827	1263	262
828	1264	260
829	1265	259
830	1265	257
831	1266	255
832	1266	253
833	1267	252
834	1268	250
835	1268	248
836	1275	248
837	1276	246
838	1277	245
839	1277	243
840	1278	241
841	1278	239
842	1279	238
843	1280	236
844	1280	234
845	1281	233
846	1282	231
847	1282	229
848	1283	228
849	1284	226
850	1286	225
851	1286	223
852	1287	221
853	1288	220
854	1288	218
855	1289	216
856	1290	215
857	1290	213
858	1291	211
859	1292	210
860	1292	208
861	1293	207
862	1293	205
863	1294	203
864	1295	202
865	1295	200
866	1296	198
867	1296	197
868	1302	196
869	1302	194
870	1303	193
871	1305	191
872	1305	189
873	1306	188
874	1307	186
875	1308	185
876	1308	183
877	1309	181
878	1310	180
879	1311	178
880	1312	177
881	1314	175
882	1314	174
883	1315	172
884	1316	171
885	1317	169
886	1317	167
887	1318	166
888	1319	164
889	1319	163
890	1320	161
891	1321	159
892	1321	158
893	1322	156
894	1322	155
895	1323	153
896	1325	152
897	1326	150
898	1328	149
899	1329	147
900	1330	146
901	1330	144
902	1331	143
903	1331	141
904	1332	139
905	1333	138
906	1333	136
907	1334	135
908	1335	133
909	1335	132
910	1336	130
911	1337	129
912	1338	127
913	1339	126
914	1340	124
915	1341	123
916	1342	121
917	1343	119
918	1343	118
919	1344	116
920	1344	115
921	1345	113
922	1346	112
923	1346	110
924	1347	109
925	1347	107
926	1348	106
927	1349	104
928	1349	103
929	1350	101
930	1351	100
931	1352	98
932	1353	97
933	1355	95
934	1356	94
935	1356	92
936	1357	91
937	1358	89
938	1358	88
939	1359	86
940	1359	85
941	1360	83
942	1361	82
943	1361	80
944	1362	79
945	1363	77
946	1363	76
947	1365	74
948	1366	73
949	1366	71
950	1371	70
951	1373	69
952	1374	67
953	1375	66
954	1376	64
955	1376	63
956	1377	61
957	1377	60
958	1381	59
959	1384	57
960	1384	56
961	1385	54
962	1386	53
963	1387	51
964	1388	50
965	1388	48
966	1389	47
967	1389	45
968	1390	44
969	1391	43
970	1391	41
971	1392	40
972	1393	38
973	1395	37
974	1396	35
975	1397	34
976	1397	32
977	1398	31
978	1399	30
979	1399	28
980	1400	27
981	1400	25
982	1401	24
983	1402	22
984	1404	21
985	1405	19
986	1406	18
987	1408	17
988	1408	15
989	1409	14
990	1410	12
991	1410	11
992	1411	9
993	1412	8
994	1412	7
995	1413	5
996	1413	4
997	1414	2
998	1415	1
999	1415	0
